"Compound","Effect","Metabolite","Plate","Dose","SampleType","Well","ApexIntensity"
"Verapamil","Cardiotoxic","Thymidine.D4","C160",0.005,"cells","d2",87183.6640625
"Verapamil","Cardiotoxic","Lactate.D3","C181",30,"media","h2",11956.458984375
"Verapamil","Cardiotoxic","Arachidonic Acid","C185",0.005,"media","a2",224852.96875
"Verapamil","Cardiotoxic","Arachidonic Acid","C185",0.005,"cells","b2",265272.875
"Verapamil","Cardiotoxic","Thymidine.D4","C160",30,"media","h2",103672.2109375
"Verapamil","Cardiotoxic","Thymidine.D4","C175",0.005,"cells","d2",73777.3203125
"Verapamil","Cardiotoxic","Citrulline-D4","C1ds3",0.005,"media","a2",22984.98046875
"Verapamil","Cardiotoxic","Citrulline-D4","C1ds3",0.005,"cells","b2",22493.833984375
"Verapamil","Cardiotoxic","Citrulline-D4","C1ds3",0.005,"cells","c2",21202.314453125
"Verapamil","Cardiotoxic","Thymidine.D4","C175",30,"media","h2",72250.65625
"Verapamil","Cardiotoxic","Arachidonic Acid","C161",0.005,"media","a2",317587.40625
"Verapamil","Cardiotoxic","Thymidine.D4","C1ds3",0.005,"cells","c2",54722.38671875
"Verapamil","Cardiotoxic","Citrulline-D4","C1ds3",30,"cells","f2",23913.181640625
"Verapamil","Cardiotoxic","Lactate.D3","C154",0.005,"media","a2",12473.3134765625
"Verapamil","Cardiotoxic","2'-deoxycytidine","C150",30,"media","h2",661.64404296875
"Verapamil","Cardiotoxic","Citrulline-D4","C150",30,"cells","e2",48292.4453125
"Verapamil","Cardiotoxic","Lactate.D3","C154",0.005,"cells","d2",12422.841796875
"Verapamil","Cardiotoxic","Citrulline-D4","C180",0.005,"cells","b2",30282.3828125
"Verapamil","Cardiotoxic","Thymidine.D4","C170",0.005,"cells","d2",62174.5390625
"Verapamil","Cardiotoxic","Lactate.D3","C1ds2",30,"cells","e2",11962.1484375
"Verapamil","Cardiotoxic","Lactate","C171",30,"cells","e2",111181.859375
"Verapamil","Cardiotoxic","Lactate","C171",0.005,"cells","d2",13186.4765625
"Verapamil","Cardiotoxic","2'-deoxycytidine","C185",0.005,"media","a2",528.703735351562
"Verapamil","Cardiotoxic","Lactate","C171",30,"cells","g2",115521.3671875
"Verapamil","Cardiotoxic","Lactate.D3","C1ds3",30,"media","h2",9316.748046875
"Verapamil","Cardiotoxic","2'-deoxycytidine","C174",0.005,"media","a2",600.303344726562
"Verapamil","Cardiotoxic","2'-deoxycytidine","C185",30,"cells","f2",869.307983398438
"Verapamil","Cardiotoxic","Lactate.D3","C1ca2",0.005,"cells","d2",9001.037109375
"Verapamil","Cardiotoxic","2'-deoxycytidine","C185",30,"media","h2",686.852478027344
"Verapamil","Cardiotoxic","Thymidine","C1ds2",30,"cells","e2",11772.6484375
"Verapamil","Cardiotoxic","Lactate.D3","C183",0.005,"cells","d2",3969.27490234375
"Verapamil","Cardiotoxic","Lactate.D3","C183",30,"cells","e2",6690.48828125
"Verapamil","Cardiotoxic","Thymidine","C176",30,"cells","f2",14353.6533203125
"Verapamil","Cardiotoxic","Thymidine","C176",30,"cells","g2",13218.099609375
"Verapamil","Cardiotoxic","Arachidonic Acid","C151",0.005,"cells","b2",326698.96875
"Verapamil","Cardiotoxic","Arachidonic Acid","C176",0.005,"cells","d2",280110
"Verapamil","Cardiotoxic","Citrulline-D4","C167",0.005,"cells","d2",27169.09375
"Verapamil","Cardiotoxic","2'-deoxycytidine","C172",1,"cells","f7",8656.244140625
"Verapamil","Cardiotoxic","Thymidine.D4","C172",0.1,"cells","e5",69385.1640625
"Verapamil","Cardiotoxic","Arachidonic Acid","C176",30,"media","h2",391403.5625
"Verapamil","Cardiotoxic","Lactate","C187",30,"cells","g2",15561.08984375
"Verapamil","Cardiotoxic","Arachidonic Acid","C166",0.005,"cells","b2",348214.65625
"Verapamil","Cardiotoxic","Arachidonic Acid","C166",0.005,"cells","c2",303378.21875
"Verapamil","Cardiotoxic","Thymidine","C151",0.005,"cells","c2",24075.4609375
"Verapamil","Cardiotoxic","Arachidonic Acid","C184",0.005,"cells","b2",257227.84375
"Verapamil","Cardiotoxic","Arachidonic Acid","C184",0.005,"cells","c2",251514.390625
"Verapamil","Cardiotoxic","Lactate","C176",30,"cells","f2",144703.625
"Verapamil","Cardiotoxic","Thymidine.D4","C156",30,"cells","e2",75313.921875
"Verapamil","Cardiotoxic","2'-deoxycytidine","C161",0.005,"media","a2",864.068603515625
"Verapamil","Cardiotoxic","Thymidine.D4","C171",0.005,"media","a2",59955.46484375
"Verapamil","Cardiotoxic","Lactate.D3","C156",0.005,"cells","c2",10617.8349609375
"Verapamil","Cardiotoxic","Arachidonic Acid","C160",0.005,"media","a2",329555.3125
"Verapamil","Cardiotoxic","Lactate.D3","C172",0.3,"cells","f6",9779.7587890625
"Verapamil","Cardiotoxic","Thymidine","C181",30,"media","h2",3593.88696289062
"Verapamil","Cardiotoxic","Thymidine.D4","C156",30,"media","h2",84250.578125
"Verapamil","Cardiotoxic","Citrulline-D4","C185",30,"cells","f2",11306.3193359375
"Verapamil","Cardiotoxic","2'-deoxycytidine","C149",30,"cells","f2",5319.48876953125
"Verapamil","Cardiotoxic","Lactate.D3","C156",30,"cells","e2",13818.47265625
"Verapamil","Cardiotoxic","Lactate.D3","C156",30,"cells","f2",14641.7705078125
"Verapamil","Cardiotoxic","2'-deoxycytidine","C156",0.005,"media","a2",847.760925292969
"Verapamil","Cardiotoxic","2'-deoxycytidine","C1ds2",30,"cells","e2",2516.255859375
"Verapamil","Cardiotoxic","Citrulline-D4","C149",30,"cells","f2",68740.515625
"Verapamil","Cardiotoxic","Lactate.D3","C149",0.005,"media","a2",21393.69921875
"Verapamil","Cardiotoxic","Lactate","C170",0.005,"media","a2",9118.7724609375
"Verapamil","Cardiotoxic","Lactate","C181",0.005,"cells","d2",43694.30078125
"Verapamil","Cardiotoxic","Lactate","C181",30,"cells","e2",200644.984375
"Verapamil","Cardiotoxic","Thymidine","C160",30,"cells","f2",15499.462890625
"Verapamil","Cardiotoxic","Lactate","C181",30,"cells","g2",184076.078125
"Verapamil","Cardiotoxic","Lactate.D3","C164",0.005,"cells","b2",6980.4013671875
"Verapamil","Cardiotoxic","Lactate.D3","C164",0.005,"cells","c2",6557.75927734375
"Verapamil","Cardiotoxic","Thymidine","C1ds3",0.005,"media","a2",3929.49340820312
"Verapamil","Cardiotoxic","Arachidonic Acid","C154",30,"cells","e2",183644.71875
"Verapamil","Cardiotoxic","Lactate.D3","C164",30,"cells","e2",11870.6689453125
"Verapamil","Cardiotoxic","Thymidine","C157",30,"cells","g2",17636.59765625
"Verapamil","Cardiotoxic","Thymidine","C157",30,"media","h2",5428.0732421875
"Verapamil","Cardiotoxic","Thymidine","C172",30,"cells","g10",14142.16015625
"Verapamil","Cardiotoxic","Thymidine","C172",30,"media","h10",4820.1474609375
"Verapamil","Cardiotoxic","Citrulline-D4","C176",0.005,"cells","d2",30171.435546875
"Verapamil","Cardiotoxic","Thymidine","C186",30,"cells","f2",9772.109375
"Verapamil","Cardiotoxic","Arachidonic Acid","C186",0.005,"cells","b2",274221.28125
"Verapamil","Cardiotoxic","Arachidonic Acid","C186",0.005,"cells","d2",241929.65625
"Verapamil","Cardiotoxic","Arachidonic Acid","C186",30,"cells","e2",158637.203125
"Verapamil","Cardiotoxic","Arachidonic Acid","C186",30,"cells","g2",180795.59375
"Verapamil","Cardiotoxic","Lactate.D3","C179",0.005,"cells","d2",10797.064453125
"Verapamil","Cardiotoxic","Thymidine.D4","C155",0.005,"media","a2",82449.125
"Verapamil","Cardiotoxic","Thymidine","C150",0.005,"media","a2",5596.86328125
"Verapamil","Cardiotoxic","2'-deoxycytidine","C163",30,"cells","e2",6027.7001953125
"Verapamil","Cardiotoxic","Citrulline-D4","C155",30,"media","h2",54206.12109375
"Verapamil","Cardiotoxic","Thymidine.D4","C166",0.005,"media","a2",75214.4296875
"Verapamil","Cardiotoxic","Lactate","C172",30,"media","h10",12918.69921875
"Verapamil","Cardiotoxic","Citrulline-D4","C166",0.005,"cells","d2",28811.400390625
"Verapamil","Cardiotoxic","Lactate","C186",30,"cells","f2",15716.2421875
"Verapamil","Cardiotoxic","Lactate","C186",30,"cells","g2",17593.21875
"Verapamil","Cardiotoxic","Lactate","C186",30,"media","h2",6885.78076171875
"Verapamil","Cardiotoxic","Citrulline-D4","C151",0.005,"cells","d2",43529.0390625
"Verapamil","Cardiotoxic","Lactate","C172",100,"cells","g11",37393.82421875
"Verapamil","Cardiotoxic","Lactate","C172",100,"media","h11",14048.412109375
"Verapamil","Cardiotoxic","Lactate","C172",0.005,"media","a2",14692.9921875
"Verapamil","Cardiotoxic","Lactate","C172",0.005,"cells","b2",14749.5625
"Verapamil","Cardiotoxic","Thymidine.D4","C185",30,"media","h2",66939.375
"Verapamil","Cardiotoxic","Lactate","C172",30,"cells","f2",129470.6796875
"Verapamil","Cardiotoxic","2'-deoxycytidine","C186",0.005,"cells","b2",2839.43530273438
"Verapamil","Cardiotoxic","Lactate.D3","C151",30,"cells","e2",15977.9921875
"Verapamil","Cardiotoxic","Lactate.D3","C151",30,"cells","f2",16031.4921875
"Verapamil","Cardiotoxic","Lactate.D3","C151",30,"cells","g2",16499.052734375
"Verapamil","Cardiotoxic","2'-deoxycytidine","C186",30,"cells","f2",850.403259277344
"Verapamil","Cardiotoxic","2'-deoxycytidine","C186",30,"cells","g2",832.162841796875
"Verapamil","Cardiotoxic","2'-deoxycytidine","C1ds3",30,"cells","f2",1457.18347167969
"Verapamil","Cardiotoxic","Lactate.D3","C170",0.005,"cells","c2",7504.2314453125
"Verapamil","Cardiotoxic","Lactate.D3","C170",0.005,"cells","d2",7490.26220703125
"Verapamil","Cardiotoxic","Lactate.D3","C170",30,"cells","e2",11113.3037109375
"Verapamil","Cardiotoxic","Arachidonic Acid","C156",30,"cells","g2",148476.921875
"Verapamil","Cardiotoxic","Thymidine","C169",0.005,"media","a2",4440.6640625
"Verapamil","Cardiotoxic","Citrulline-D4","C172",30,"cells","f10",44451.1953125
"Verapamil","Cardiotoxic","2'-deoxycytidine","C172",0.005,"cells","b2",10693.337890625
"Verapamil","Cardiotoxic","2'-deoxycytidine","C172",0.005,"cells","c2",12338.775390625
"Verapamil","Cardiotoxic","2'-deoxycytidine","C172",0.005,"cells","d2",9964.9775390625
"Verapamil","Cardiotoxic","Arachidonic Acid","C172",0.3,"cells","f6",400171.59375
"Verapamil","Cardiotoxic","Lactate","C172",0.03,"cells","f4",18046.107421875
"Verapamil","Cardiotoxic","Thymidine","C172",0.3,"cells","e6",17523.509765625
"Verapamil","Cardiotoxic","Thymidine","C172",0.3,"cells","f6",19534.826171875
"Verapamil","Cardiotoxic","Lactate.D3","C181",30,"cells","g2",14324.16015625
"Verapamil","Cardiotoxic","Arachidonic Acid","C149",0.005,"cells","b2",450118.125
"Verapamil","Cardiotoxic","Citrulline-D4","C157",30,"cells","g2",55685.23046875
"Verapamil","Cardiotoxic","Thymidine.D4","C157",30,"cells","e2",87090.5703125
"Verapamil","Cardiotoxic","Citrulline-D4","C186",0.005,"media","a2",12112.7978515625
"Verapamil","Cardiotoxic","Thymidine.D4","C186",0.005,"media","a2",56840.62890625
"Verapamil","Cardiotoxic","Thymidine","C182",30,"cells","e2",11742.443359375
"Verapamil","Cardiotoxic","Thymidine","C182",30,"cells","f2",11080.7509765625
"Verapamil","Cardiotoxic","Lactate.D3","C172",30,"cells","g10",14065.4287109375
"Verapamil","Cardiotoxic","Lactate.D3","C172",30,"media","h10",9235.7138671875
"Verapamil","Cardiotoxic","Lactate","C167",30,"cells","g2",102529.90625
"Verapamil","Cardiotoxic","Arachidonic Acid","C182",0.005,"media","a2",348364.46875
"Verapamil","Cardiotoxic","Arachidonic Acid","C182",0.005,"cells","b2",347591.1875
"Verapamil","Cardiotoxic","Lactate","C156",30,"cells","f2",132923.28125
"Verapamil","Cardiotoxic","Lactate.D3","C154",0.005,"cells","b2",13587.181640625
"Verapamil","Cardiotoxic","Lactate.D3","C154",0.005,"cells","c2",11845.4345703125
"Verapamil","Cardiotoxic","Arachidonic Acid","C161",30,"cells","g2",158056.8125
"Verapamil","Cardiotoxic","Thymidine.D4","C183",0.005,"cells","b2",65717.125
"Verapamil","Cardiotoxic","Arachidonic Acid","C172",0.03,"cells","e4",416919.21875
"Verapamil","Cardiotoxic","Lactate","C152",30,"cells","f2",151816.953125
"Verapamil","Cardiotoxic","Arachidonic Acid","C158",30,"cells","e2",157639.578125
"Verapamil","Cardiotoxic","2'-deoxycytidine","C167",0.005,"cells","b2",5623.5966796875
"Verapamil","Cardiotoxic","Thymidine","C158",0.005,"media","a2",5484.20947265625
"Verapamil","Cardiotoxic","2'-deoxycytidine","C167",0.005,"cells","d2",4864.138671875
"Verapamil","Cardiotoxic","2'-deoxycytidine","C167",30,"cells","e2",959.395629882812
"Verapamil","Cardiotoxic","Thymidine","C161",30,"cells","g2",18792.841796875
"Verapamil","Cardiotoxic","Lactate.D3","C1ca2",0.005,"cells","c2",9244.9482421875
"Verapamil","Cardiotoxic","Lactate","C153",30,"media","h2",22478.162109375
"Verapamil","Cardiotoxic","Lactate.D3","C1ca2",30,"cells","e2",12278.556640625
"Verapamil","Cardiotoxic","Thymidine","C176",0.005,"cells","c2",20794.365234375
"Verapamil","Cardiotoxic","Lactate.D3","C165",30,"cells","f2",13059.5703125
"Verapamil","Cardiotoxic","Thymidine","C176",30,"cells","e2",13948.208984375
"Verapamil","Cardiotoxic","Citrulline-D4","C167",0.005,"media","a2",28411.478515625
"Verapamil","Cardiotoxic","Thymidine","C158",30,"media","h2",5586.2998046875
"Verapamil","Cardiotoxic","2'-deoxycytidine","C182",0.005,"cells","b2",6076.494140625
"Verapamil","Cardiotoxic","2'-deoxycytidine","C182",0.005,"cells","c2",7263.271484375
"Verapamil","Cardiotoxic","Thymidine","C155",0.005,"cells","d2",20427.251953125
"Verapamil","Cardiotoxic","Thymidine","C155",30,"cells","e2",14458.3193359375
"Verapamil","Cardiotoxic","Thymidine","C184",0.005,"cells","c2",15473.5888671875
"Verapamil","Cardiotoxic","Thymidine.D4","C172",0.1,"cells","f5",69851.1328125
"Verapamil","Cardiotoxic","Citrulline-D4","C169",0.005,"media","a2",23760.568359375
"Verapamil","Cardiotoxic","Citrulline-D4","C172",0.3,"cells","g6",43130.63671875
"Verapamil","Cardiotoxic","2'-deoxycytidine","C152",0.005,"cells","c2",15314.8740234375
"Verapamil","Cardiotoxic","2'-deoxycytidine","C152",0.005,"cells","d2",14877.568359375
"Verapamil","Cardiotoxic","Lactate","C176",0.005,"media","a2",19716.369140625
"Verapamil","Cardiotoxic","Lactate","C176",0.005,"cells","b2",34527.25
"Verapamil","Cardiotoxic","Thymidine.D4","C169",30,"cells","f2",66200.921875
"Verapamil","Cardiotoxic","Arachidonic Acid","C184",30,"cells","f2",135673.1875
"Verapamil","Cardiotoxic","Arachidonic Acid","C184",30,"cells","g2",136325.75
"Verapamil","Cardiotoxic","2'-deoxycytidine","C161",0.005,"cells","b2",6431.5498046875
"Verapamil","Cardiotoxic","Thymidine.D4","C172",1,"cells","e7",71309.6015625
"Verapamil","Cardiotoxic","Thymidine.D4","C185",0.005,"cells","c2",61386.203125
"Verapamil","Cardiotoxic","2'-deoxycytidine","C149",0.005,"cells","d2",20658.052734375
"Verapamil","Cardiotoxic","2'-deoxycytidine","C187",0.005,"cells","c2",3204.4970703125
"Verapamil","Cardiotoxic","2'-deoxycytidine","C187",0.005,"cells","d2",3267.64453125
"Verapamil","Cardiotoxic","Lactate.D3","C172",0.3,"media","h6",7592.61376953125
"Verapamil","Cardiotoxic","Citrulline-D4","C185",30,"cells","g2",11367.6513671875
"Verapamil","Cardiotoxic","2'-deoxycytidine","C187",30,"cells","g2",962.174377441406
"Verapamil","Cardiotoxic","Thymidine.D4","C182",0.005,"media","a2",59244.40625
"Verapamil","Cardiotoxic","Thymidine.D4","C182",0.005,"cells","b2",61103.98046875
"Verapamil","Cardiotoxic","Lactate.D3","C174",30,"cells","e2",12190.8876953125
"Verapamil","Cardiotoxic","Thymidine.D4","C171",30,"media","h2",63792.2890625
"Verapamil","Cardiotoxic","Citrulline-D4","C153",0.005,"cells","b2",46292.06640625
"Verapamil","Cardiotoxic","Lactate","C181",0.005,"cells","b2",42469.578125
"Verapamil","Cardiotoxic","Lactate","C170",0.005,"cells","b2",10442.6357421875
"Verapamil","Cardiotoxic","Thymidine","C160",0.005,"cells","d2",21074.923828125
"Verapamil","Cardiotoxic","Lactate","C181",30,"cells","f2",195947.328125
"Verapamil","Cardiotoxic","Thymidine.D4","C164",0.005,"cells","d2",79002.1328125
"Verapamil","Cardiotoxic","Arachidonic Acid","C157",30,"media","h2",386061.5625
"Verapamil","Cardiotoxic","Thymidine","C157",0.005,"cells","d2",20227.578125
"Verapamil","Cardiotoxic","2'-deoxycytidine","C166",0.005,"media","a2",802.584106445312
"Verapamil","Cardiotoxic","Lactate.D3","C164",0.005,"cells","d2",7127.7216796875
"Verapamil","Cardiotoxic","Thymidine.D4","C161",0.005,"media","a2",92150.859375
"Verapamil","Cardiotoxic","Lactate.D3","C182",0.005,"cells","b2",12515.7314453125
"Verapamil","Cardiotoxic","2'-deoxycytidine","C173",30,"cells","e2",4437.3291015625
"Verapamil","Cardiotoxic","2'-deoxycytidine","C173",30,"cells","g2",3705.30908203125
"Verapamil","Cardiotoxic","Citrulline-D4","C187",0.005,"cells","b2",11336.8642578125
"Verapamil","Cardiotoxic","Arachidonic Acid","C154",30,"media","h2",366339.5625
"Verapamil","Cardiotoxic","Thymidine.D4","C187",0.005,"cells","b2",59879.26171875
"Verapamil","Cardiotoxic","Thymidine.D4","C187",0.005,"cells","c2",58206.00390625
"Verapamil","Cardiotoxic","Thymidine.D4","C158",0.005,"cells","c2",86524.21875
"Verapamil","Cardiotoxic","Lactate.D3","C158",0.005,"media","a2",15215.9501953125
"Verapamil","Cardiotoxic","2'-deoxycytidine","C168",30,"cells","g2",917.911376953125
"Verapamil","Cardiotoxic","Arachidonic Acid","C186",30,"media","h2",188195.8125
"Verapamil","Cardiotoxic","Lactate","C160",30,"cells","f2",119024.5625
"Verapamil","Cardiotoxic","Citrulline-D4","C166",0.005,"cells","b2",26909.2109375
"Verapamil","Cardiotoxic","Thymidine","C150",0.005,"cells","b2",19725.9453125
"Verapamil","Cardiotoxic","Citrulline-D4","C166",0.005,"cells","c2",27169.47265625
"Verapamil","Cardiotoxic","Arachidonic Acid","C183",0.005,"media","a2",370189.375
"Verapamil","Cardiotoxic","2'-deoxycytidine","C163",30,"cells","g2",5737.6455078125
"Verapamil","Cardiotoxic","Arachidonic Acid","C183",0.005,"cells","c2",347495.625
"Verapamil","Cardiotoxic","Arachidonic Acid","C183",0.005,"cells","d2",357450.125
"Verapamil","Cardiotoxic","Thymidine.D4","C168",0.005,"media","a2",70637.390625
"Verapamil","Cardiotoxic","Citrulline-D4","C168",30,"cells","e2",25143.2578125
"Verapamil","Cardiotoxic","Lactate","C154",0.005,"media","a2",19337.59765625
"Verapamil","Cardiotoxic","Lactate","C183",0.005,"media","a2",6996.53271484375
"Verapamil","Cardiotoxic","Thymidine.D4","C173",30,"media","h2",71427.8203125
"Verapamil","Cardiotoxic","Citrulline-D4","C168",30,"media","h2",23210.02734375
"Verapamil","Cardiotoxic","Lactate.D3","C187",30,"cells","f2",2673.767578125
"Verapamil","Cardiotoxic","Lactate","C183",0.005,"cells","d2",7180.46728515625
"Verapamil","Cardiotoxic","Arachidonic Acid","C159",0.005,"cells","d2",332424.625
"Verapamil","Cardiotoxic","Arachidonic Acid","C159",30,"cells","e2",209711.265625
"Verapamil","Cardiotoxic","Lactate","C154",30,"cells","g2",201980.734375
"Verapamil","Cardiotoxic","Lactate","C183",30,"media","h2",7228.58056640625
"Verapamil","Cardiotoxic","Lactate.D3","C168",0.005,"media","a2",8417.478515625
"Verapamil","Cardiotoxic","Lactate.D3","C168",0.005,"cells","b2",7784.873046875
"Verapamil","Cardiotoxic","Lactate.D3","C168",30,"cells","e2",10346.134765625
"Verapamil","Cardiotoxic","Lactate.D3","C168",30,"cells","f2",10887.611328125
"Verapamil","Cardiotoxic","Citrulline-D4","C163",30,"cells","g2",55601.3203125
"Verapamil","Cardiotoxic","Thymidine","C1ds1",30,"cells","g2",13485.9306640625
"Verapamil","Cardiotoxic","2'-deoxycytidine","C1ca2",0.005,"cells","b2",9015.9921875
"Verapamil","Cardiotoxic","Thymidine","C159",30,"cells","g2",16156.98828125
"Verapamil","Cardiotoxic","Arachidonic Acid","C156",30,"media","h2",346837.0625
"Verapamil","Cardiotoxic","Thymidine.D4","C178",0.005,"cells","d2",69901.0625
"Verapamil","Cardiotoxic","Arachidonic Acid","C174",0.005,"media","a2",268348.09375
"Verapamil","Cardiotoxic","Thymidine","C174",0.005,"media","a2",3919.2861328125
"Verapamil","Cardiotoxic","Thymidine","C174",0.005,"cells","c2",15928.26171875
"Verapamil","Cardiotoxic","Thymidine","C169",0.005,"cells","d2",25153.81640625
"Verapamil","Cardiotoxic","Arachidonic Acid","C169",30,"cells","g2",150805.328125
"Verapamil","Cardiotoxic","Arachidonic Acid","C169",30,"media","h2",249109.078125
"Verapamil","Cardiotoxic","Thymidine","C169",30,"cells","g2",16603.7421875
"Verapamil","Cardiotoxic","Arachidonic Acid","C149",0.005,"cells","c2",414958.40625
"Verapamil","Cardiotoxic","Thymidine.D4","C172",30,"cells","f10",66749.125
"Verapamil","Cardiotoxic","Arachidonic Acid","C149",0.005,"media","a2",521516.65625
"Verapamil","Cardiotoxic","Lactate","C159",0.005,"media","a2",15716.697265625
"Verapamil","Cardiotoxic","Lactate","C159",0.005,"cells","b2",21382.861328125
"Verapamil","Cardiotoxic","Lactate.D3","C178",0.005,"cells","b2",10808.3720703125
"Verapamil","Cardiotoxic","Citrulline-D4","C154",0.005,"cells","b2",48970.08203125
"Verapamil","Cardiotoxic","Lactate","C159",30,"cells","e2",137844.640625
"Verapamil","Cardiotoxic","Thymidine.D4","C1ca1",30,"media","h2",68757.1953125
"Verapamil","Cardiotoxic","Lactate","C159",30,"media","h2",13273.1669921875
"Verapamil","Cardiotoxic","Lactate","C174",0.005,"cells","b2",13420.5009765625
"Verapamil","Cardiotoxic","Lactate.D3","C1ca1",0.005,"media","a2",10246.4150390625
"Verapamil","Cardiotoxic","Lactate.D3","C1ca1",0.005,"cells","b2",8479.203125
"Verapamil","Cardiotoxic","Lactate.D3","C1ca1",0.005,"cells","d2",8577.40625
"Verapamil","Cardiotoxic","Lactate","C156",30,"cells","g2",139944.03125
"Verapamil","Cardiotoxic","Lactate","C185",30,"media","h2",2584.09814453125
"Verapamil","Cardiotoxic","2'-deoxycytidine","C159",0.005,"media","a2",752.925170898438
"Verapamil","Cardiotoxic","Arachidonic Acid","C161",30,"media","h2",305709.8125
"Verapamil","Cardiotoxic","Lactate","C171",0.005,"cells","b2",14971.4326171875
"Verapamil","Cardiotoxic","Lactate","C171",0.005,"cells","c2",14702.240234375
"Verapamil","Cardiotoxic","Lactate.D3","C150",0.005,"cells","b2",14812.6435546875
"Verapamil","Cardiotoxic","Citrulline-D4","C183",30,"media","h2",20285.92578125
"Verapamil","Cardiotoxic","Arachidonic Acid","C179",0.005,"media","a2",342124.8125
"Verapamil","Cardiotoxic","Arachidonic Acid","C179",0.005,"cells","b2",341191.375
"Verapamil","Cardiotoxic","Thymidine.D4","C1ca2",30,"media","h2",67105.640625
"Verapamil","Cardiotoxic","Thymidine.D4","C183",30,"cells","g2",63339.23046875
"Verapamil","Cardiotoxic","Thymidine","C161",30,"media","h2",5534.9111328125
"Verapamil","Cardiotoxic","Lactate.D3","C1ca2",0.005,"cells","b2",9854.107421875
"Verapamil","Cardiotoxic","2'-deoxycytidine","C185",30,"cells","g2",797.93017578125
"Verapamil","Cardiotoxic","Thymidine","C1ds2",0.005,"cells","b2",16024.451171875
"Verapamil","Cardiotoxic","Lactate.D3","C183",0.005,"media","a2",5360.42919921875
"Verapamil","Cardiotoxic","Thymidine","C158",30,"cells","f2",16971.291015625
"Verapamil","Cardiotoxic","Thymidine","C1ds2",30,"cells","g2",10747.349609375
"Verapamil","Cardiotoxic","Thymidine","C1ds2",30,"media","h2",3676.8271484375
"Verapamil","Cardiotoxic","2'-deoxycytidine","C174",30,"media","h2",980.746643066406
"Verapamil","Cardiotoxic","Thymidine","C155",0.005,"cells","c2",18105.345703125
"Verapamil","Cardiotoxic","Arachidonic Acid","C151",0.005,"media","a2",334583.78125
"Verapamil","Cardiotoxic","2'-deoxycytidine","C172",1,"cells","e7",9531.771484375
"Verapamil","Cardiotoxic","Thymidine.D4","C177",0.005,"media","a2",74363.34375
"Verapamil","Cardiotoxic","Thymidine","C184",0.005,"cells","d2",15972.099609375
"Verapamil","Cardiotoxic","Lactate.D3","C180",0.005,"media","a2",8598.63671875
"Verapamil","Cardiotoxic","Citrulline-D4","C169",0.005,"cells","b2",23459.751953125
"Verapamil","Cardiotoxic","Citrulline-D4","C169",0.005,"cells","c2",33789.234375
"Verapamil","Cardiotoxic","Citrulline-D4","C174",30,"cells","e2",45454.41015625
"Verapamil","Cardiotoxic","Citrulline-D4","C174",30,"cells","f2",44673.11328125
"Verapamil","Cardiotoxic","Thymidine.D4","C1ds1",30,"cells","g2",65249.73828125
"Verapamil","Cardiotoxic","Citrulline-D4","C171",0.005,"media","a2",33566.45703125
"Verapamil","Cardiotoxic","Citrulline-D4","C171",0.005,"cells","b2",36112.52734375
"Verapamil","Cardiotoxic","Thymidine","C151",30,"cells","g2",16782.53125
"Verapamil","Cardiotoxic","2'-deoxycytidine","C179",30,"cells","g2",1231.16931152344
"Verapamil","Cardiotoxic","Lactate.D3","C156",0.005,"cells","b2",12240.9169921875
"Verapamil","Cardiotoxic","Thymidine","C181",30,"cells","f2",9457.8623046875
"Verapamil","Cardiotoxic","Thymidine","C181",30,"cells","g2",11782.150390625
"Verapamil","Cardiotoxic","Thymidine.D4","C174",30,"media","h2",70545.5078125
"Verapamil","Cardiotoxic","Lactate","C155",0.005,"cells","b2",11824.5771484375
"Verapamil","Cardiotoxic","Lactate","C155",0.005,"cells","c2",11411.326171875
"Verapamil","Cardiotoxic","Lactate","C155",0.005,"cells","d2",15571.6796875
"Verapamil","Cardiotoxic","Lactate.D3","C174",0.005,"cells","b2",8468.19140625
"Verapamil","Cardiotoxic","Lactate.D3","C174",0.005,"cells","c2",7475.427734375
"Verapamil","Cardiotoxic","Lactate.D3","C174",0.005,"cells","d2",7063.81103515625
"Verapamil","Cardiotoxic","Lactate","C173",30,"media","h2",11891.033203125
"Verapamil","Cardiotoxic","Lactate.D3","C169",30,"media","h2",9102.98828125
"Verapamil","Cardiotoxic","2'-deoxycytidine","C1ds2",30,"cells","f2",1376.79040527344
"Verapamil","Cardiotoxic","Thymidine","C160",0.005,"media","a2",4946.52294921875
"Verapamil","Cardiotoxic","Arachidonic Acid","C157",0.005,"cells","b2",347381.0625
"Verapamil","Cardiotoxic","Lactate.D3","C171",30,"cells","e2",11164.337890625
"Verapamil","Cardiotoxic","Thymidine","C160",30,"cells","e2",17176.8984375
"Verapamil","Cardiotoxic","Arachidonic Acid","C157",30,"cells","f2",189053.828125
"Verapamil","Cardiotoxic","Lactate.D3","C164",0.005,"media","a2",8509.7509765625
"Verapamil","Cardiotoxic","Lactate.D3","C149",30,"cells","e2",17919.345703125
"Verapamil","Cardiotoxic","Lactate.D3","C172",3,"cells","f8",14595.2607421875
"Verapamil","Cardiotoxic","Thymidine","C157",30,"cells","e2",17200.75
"Verapamil","Cardiotoxic","Lactate.D3","C182",0.005,"media","a2",11268.8681640625
"Verapamil","Cardiotoxic","Thymidine.D4","C179",0.005,"cells","c2",70234.9140625
